tweet,label
เด็กเก่งมีความสามารถแต่ค่ายไม่โปรโมต มันก็เหมือนหัวล้านได้หวี  ไก่ได้พลอย วานรได้แก้ว ตาบอดได้แว่น แหม่มมมมไม่รู้จะเอาสำนวนไทยไหนมาพู,1
จอดรถแบบนี้ใครจะออกได้!!! แค่ยกขาตั้งขึ้นยังไม่ได้เลย คนเค้ามีธุระต้องใช้มอไซต์ ไม่นึกถึงใจคนอื่นมั้งเลยหรือยังไง ความเกรงใจมีมั้งไห,1
สติไม่มีแล้วตอนนี้,1
เชี่ยเอ้ยดูตารางเรียนไม่ได,1
สักหน่อยจะเลิกเล่นเฟ,1
มันน่าโมโหนิดนึงนะ รู้ว่าเรื่องของทานบ่นมากไม่ดี แต่เคยม่ะ ไอ้ที่เก็บไว้อยากทานคนเดียวไม่อยากแบ่งใคร แต่โดนคนอื่นทานไปจนหมดไม่เหลืออ่,1
อาจดูเหมือนว่ากูเลว ชอบเหวี่ยง พาล เเต่บอกไรให้ว่ากูอึดอัดมาก !!,1
ไอ่กร๊วก.,1
ทำไมต้องเป็นแบบนี้ เอาเลย อยากทำอะไรก็ตามสบาย แต่รู้ไว้ ฉันไม่ยอมรับหรอกน,1
ถ้ามองการติ่งมันไร้สาระ ก็เลิกเอาเวลาอันล้ำค่าของคุณ มาเผือกสิ่งไร้สาระอย่างพวกหนูเลยค่ะ ทัศนคติพวกคุณก็ไม่ได้สูงนักหรอก อีปอบ,1
ทำไมพี่ซองอิมไม่มีโมเมนท์ชัดๆ กับน้องแทบ้างน,1
มาเป็นอะไรตอนจบวะคะยูทู,1
เจอแต่พวกตอแหล กูชินแล้วล่ะ ลองไม่มีประโยชน์กะมันก็หมาตัวนึงๆดีนี้ล่ะกู ทำบุญกะคนไม่ขึ้นจริงๆ คนเชี้ยไรยิ่งกว่าหมาอีกอีดอ,1
อีกแปบมึงจะกล้ายเป็นโกโก้ครั้นแน,1
เนตประเทศไทยกากไม่แพ้ชาติใดในโลกกกกกกกก,1
อิพวกปรัศนีย์!! เป็นมีปัญหาจริงจังทางจิตใจ เบลอหน้าอิพี่ย๊งอีก เพราะย๊งมันยืนตรงกลางล่ะสิ แหม!จะจิ้นฮโยซอ.จิ้นขึ้นเรอะ? อย่าให้เหวี่ย,1
เขาทำให้หัวใจเต้นแรงและทำให้หัวใจเต้นเบ,1
ไม่อยากคุยไม่ต้องคุย !! กูแค่ถามเรื่องน้องที่เสียไปก็แค่นั้น หยิ่งไรนักหนา !,1
เน่คนข้างบ้าน!!! อย่าเยอะน่ะค่,1
แหม!! รูปคู่มึงเนี่ย เอาขึ้นให้กูเห็นบ่อยจังน้ะ อย่าให้กูได้มีนะกูจะแท็กไปให้มึงเลยคอยดู,1
อย่าให้กุต้องแอนตี้บริทนี่เพราะฟค.ฟายๆอย่างพวกมึงนะ,1
จะหยุดดด ก็ไม่ได้หยุด นี่เพื่อนนะตลอ,1
เป็นกูกูจะรีบไปรื้อยาดูไม่ยืดอ้อยยย,1
โอ๊ยยยยย กูพูดแล้วโมโห ขัดกูได้ทุกเรื่องจริงๆมึง กูจะทำอะไรหนักหัวมึงรึไงกันค๊,1
อิพวกเวนที่ขโมยนี่ไม่ยอมหยุดนะ ขยะจิงๆ แล้วอิพวกรับซื้อก็เหมือนกัน !!!!!,1
มีบอทอยากนอนแบบไม่ฟื้นเดี๋ยวสักวันจะจัดให้ไม่สบายก็อย่าปากมากไปนอนไวไวไปหลีแฟนตูอยู่ได้  แสด!!!,1
อ๊อย!! บีบีเปนไร ส่งไม่ไป,1
ข้าวมันไก่ ข้าวหน้าเป็ด ข้าวหมูแดง ข้าวไข่เจียว พิซซ่า มันบด แฮมเบอร์เกอร์ สเต๊ก ไก่ทอด หมูสามชั้น สี่ชั้น ห้าชั้น จะแดกแม่งให้หมดเล,1
รอรถที่ป้ายรถเมประมาณชั่วโมงนึงได้  คนจากต้นสายก็เปนล้านละ เสือกบอก หน้าประตูเขยิบเข้าในนะ แค่นี้ก็จะได้กันละไอ้ฝัด จะให้เข้าไปถึงใ,1
ตัวๆได้นะไอสั,1
มึงนิมัน..หขี จริงจริง !!!,1
ทำตัวเยี่ยงขอทาน เครื่องแบบพระราชทาน เกียรติยศศักดิ์ศรี อยู่ตรงไหน เป็นทหารแต่แบบมือรีดไถ่ใต้โต๊ะ คุณภูมิใจมากไหม ไถได้แบบหน้าไม่อา,1
